in html, has emoji, sent to list, from .com, has my name, has sig, # sentences, # words, is spam
True,False,False,False,True,False,4,97,False
True,False,False,False,False,True,4,71,True
True,False,False,True,False,True,4,74,True
True,True,True,False,False,True,6,62,False
False,False,True,True,False,True,3,57,True
False,False,False,False,False,True,7,107,False
False,False,False,False,True,False,9,98,False
True,False,False,False,True,False,4,38,False
True,False,False,True,False,False,6,70,False
True,False,False,True,False,True,8,113,False
True,False,False,True,False,True,5,133,False
True,False,True,False,True,False,7,36,False
True,False,False,True,True,True,3,70,True
True,False,True,False,False,True,9,88,False
True,False,False,False,False,True,4,87,False
True,True,False,True,True,True,2,84,True
True,False,False,True,True,True,5,75,True
True,False,False,False,True,False,7,47,False
True,False,False,True,True,False,5,86,False
False,False,False,False,True,False,11,59,False
True,False,False,True,False,False,5,96,False
False,True,False,False,False,True,6,99,False
False,False,True,True,True,False,4,61,True
True,True,False,True,False,True,5,71,True
True,False,False,False,False,True,4,61,True
True,True,False,True,False,True,5,66,False
True,False,False,False,False,True,2,80,True
False,True,False,False,False,True,4,64,False
True,False,False,True,False,True,1,64,True
False,False,False,False,False,False,2,33,False
False,False,False,False,False,True,7,63,False
True,False,False,False,False,True,1,65,False
True,False,False,False,True,True,5,74,True
False,False,False,False,True,False,11,69,False
True,False,False,False,True,False,3,155,False
True,False,False,True,False,True,7,71,False
False,False,False,True,False,False,7,10,False
True,False,True,False,False,True,4,98,False
True,False,False,True,True,False,7,99,False
False,True,True,True,False,True,2,67,True
False,False,False,True,True,False,5,77,False
True,False,False,False,True,False,7,61,False
False,False,False,True,True,False,4,74,False
False,True,False,False,True,False,11,168,False
False,False,False,False,True,False,3,64,False
True,False,False,False,False,True,13,98,False
False,False,True,False,True,False,5,35,False
False,False,False,True,False,True,5,73,True
True,False,False,False,True,False,2,75,False
True,False,False,False,True,False,5,80,False
True,True,False,True,False,True,3,65,True
True,True,False,False,True,False,7,40,False
True,False,False,False,True,False,6,58,False
True,False,False,False,True,False,3,52,False
True,True,True,True,True,False,5,84,False
True,False,False,True,False,False,1,71,True
True,False,False,True,True,False,3,97,False
True,False,True,True,False,True,4,81,False
True,False,False,False,True,False,6,7,False
True,False,False,False,True,False,7,62,False
False,False,False,False,True,False,4,55,False
False,False,True,False,True,False,7,113,False
False,False,False,False,True,False,2,72,False
True,True,True,False,True,False,9,81,False
False,False,False,False,True,False,7,93,False
True,False,True,False,True,False,6,106,False
True,True,False,True,False,False,8,34,False
False,False,False,True,False,False,5,96,False
True,False,False,True,True,False,2,58,True
False,False,True,False,True,False,8,69,False
False,False,False,False,False,False,6,58,True
True,False,False,False,True,True,6,93,False
True,False,False,False,True,False,6,82,False
False,False,False,False,True,False,5,50,False
True,False,True,True,True,False,5,42,False
True,False,True,False,False,True,3,86,False
True,False,False,True,True,True,9,132,False
False,False,False,False,False,True,3,143,False
False,True,False,True,False,True,6,82,False
False,False,False,True,False,True,2,-30,False
True,False,False,False,False,True,7,92,False
False,False,False,False,True,True,7,72,False
True,False,False,False,True,False,6,102,False
False,False,True,False,False,True,8,50,False
False,True,True,False,True,False,9,115,False
True,False,True,False,False,True,7,92,False
True,False,True,True,False,True,2,57,False
True,True,True,False,False,False,7,90,False
True,False,False,False,False,True,6,68,True
True,False,False,False,False,True,3,120,False
False,False,False,False,True,False,5,87,False
True,False,True,False,True,False,1,65,False
False,False,False,True,True,False,3,60,False
True,False,False,True,True,True,0,77,True
False,True,False,True,False,True,9,76,False
False,False,False,True,False,True,5,77,True
True,False,False,False,True,False,5,88,False
False,False,False,False,True,False,3,102,False
False,False,True,False,True,False,5,50,False
True,False,False,True,False,True,5,64,True
False,False,True,False,True,True,8,63,False
True,False,False,True,True,False,9,95,False
False,False,True,False,False,True,4,81,False
False,False,False,True,False,True,8,73,False
True,False,True,True,False,True,8,88,False
False,False,False,False,True,False,9,67,True
True,False,False,False,True,False,6,78,False
True,False,False,True,False,False,7,49,False
True,False,False,False,False,True,7,37,False
False,False,False,False,True,False,9,108,False
True,True,False,False,False,True,8,46,False
False,False,True,False,False,False,11,49,False
True,True,False,False,True,False,6,81,False
True,False,False,False,True,False,4,62,False
False,False,True,False,True,False,6,59,False
False,False,True,True,False,True,11,88,False
True,False,False,False,True,False,5,137,False
True,True,False,True,True,False,11,74,False
True,False,True,False,True,False,5,108,False
True,False,False,False,False,True,7,68,False
True,False,True,True,True,False,10,26,False
False,False,True,False,False,True,8,96,False
True,False,False,True,False,True,6,48,True
True,False,True,True,True,False,9,33,False
False,False,False,False,False,True,9,55,False
True,False,True,False,False,True,10,74,False
True,False,False,False,False,True,6,14,False
False,True,False,False,False,True,4,97,False
True,False,False,False,True,False,14,43,False
False,False,True,False,True,False,6,96,False
True,False,False,False,True,False,7,50,False
True,False,False,False,False,False,5,70,False
True,False,False,False,False,False,8,79,False
False,False,True,False,True,False,8,57,False
True,False,True,False,True,False,8,25,False
True,False,False,False,True,False,4,104,False
True,False,False,False,False,False,9,41,False
True,False,False,False,False,True,8,60,False
False,False,False,True,True,False,6,98,False
False,False,False,False,True,False,8,9,False
True,False,True,False,True,False,7,58,False
True,False,False,False,True,False,0,46,False
False,True,True,True,True,False,6,53,False
True,True,False,False,False,True,5,67,True
False,False,False,True,False,True,7,75,False
True,False,False,False,False,True,3,102,False
True,False,False,False,True,False,8,45,False
True,True,False,False,True,False,5,115,False
True,False,False,False,True,False,8,76,False
True,True,True,True,True,False,9,34,False
False,True,False,False,True,False,7,53,False
True,True,False,True,True,False,4,78,True
True,False,False,False,False,False,7,51,False
True,False,False,False,True,True,8,82,False
True,False,True,False,True,False,1,72,False
False,False,False,True,False,True,5,-21,False
True,False,False,True,False,False,10,100,False
True,False,False,False,True,True,7,46,False
False,False,False,False,True,False,6,47,False
True,False,False,False,False,False,8,83,False
False,False,False,False,False,True,10,104,False
True,False,False,True,True,False,3,17,False
True,False,True,True,False,True,9,77,False
True,False,False,False,True,False,11,23,False
True,False,False,False,True,False,8,110,False
False,False,False,False,True,False,6,64,True
True,False,False,True,True,False,4,62,True
False,True,True,False,False,True,12,17,False
True,False,False,False,True,False,5,97,False
True,False,True,False,False,True,5,86,False
True,False,True,False,True,False,7,81,False
True,False,False,True,False,True,3,79,True
True,True,False,True,False,True,9,64,False
False,False,False,False,True,False,6,69,False
True,True,False,False,True,False,9,123,False
True,True,False,True,False,True,1,65,True
True,False,False,True,False,True,8,53,True
True,False,False,True,True,True,8,88,True
True,False,False,True,True,False,4,80,False
True,False,False,False,True,False,4,62,False
False,False,False,True,True,True,1,68,True
True,False,False,True,False,True,5,77,True
True,False,False,True,False,True,6,59,False
False,False,True,False,False,True,13,71,False
False,True,False,True,True,False,6,93,False
False,False,False,False,True,False,14,20,False
False,False,False,True,True,False,8,100,False
False,False,False,False,True,True,6,96,False
True,False,True,False,True,False,5,101,False
True,False,True,True,True,False,9,47,False
False,False,False,True,False,False,4,65,True
False,False,False,False,False,False,6,0,False
True,False,False,False,False,False,3,73,False
True,True,False,True,True,False,5,72,False
True,False,False,False,False,True,4,53,False
True,False,False,True,True,False,11,64,False
True,False,False,True,False,True,11,107,False
True,False,False,False,False,True,9,92,False
True,False,False,False,True,False,6,23,False
True,False,True,False,True,False,11,112,False
True,False,False,False,False,True,4,95,False
False,False,False,True,True,False,7,93,False
False,False,True,False,False,True,7,48,False
True,True,True,True,True,False,5,106,False
True,False,False,True,False,True,3,70,True
True,False,False,False,True,False,2,73,False
True,False,False,True,True,False,4,60,True
False,True,False,True,True,False,7,50,False
True,False,False,False,True,False,7,78,False
False,True,False,False,True,True,5,48,True
False,False,False,False,True,False,8,47,False
False,False,True,False,False,True,7,42,False
False,False,False,False,False,True,9,148,False
True,False,True,False,False,True,7,93,False
True,False,False,False,True,False,9,95,False
True,False,False,False,True,False,2,86,False
True,False,False,True,False,True,6,59,True
True,False,True,False,False,True,9,21,False
False,False,True,False,True,False,11,69,False
True,False,False,False,False,True,8,45,False
False,False,True,False,False,True,4,101,False
True,False,True,False,True,False,2,88,False
True,False,True,False,False,False,5,11,False
False,False,True,True,False,True,4,71,False
True,False,False,False,True,False,7,76,False
True,False,False,True,False,True,2,72,True
True,False,False,True,False,True,4,76,False
True,False,False,False,False,True,7,39,False
False,False,True,False,True,True,4,43,False
True,False,True,False,False,True,4,90,False
False,False,True,True,True,True,6,-6,False
True,False,False,True,False,True,6,75,True
False,True,True,False,False,True,2,70,True
True,False,False,True,False,True,5,46,False
False,True,False,False,True,False,6,106,False
True,True,False,False,True,False,3,69,False
True,True,False,False,True,False,7,82,False
False,False,False,True,False,True,1,70,True
True,False,False,False,True,False,4,116,False
True,False,False,True,False,True,5,34,False
False,False,False,False,False,False,7,77,False
True,False,False,False,True,False,6,24,False
True,True,False,True,False,False,5,21,False
True,False,False,False,True,False,3,92,False
False,False,True,False,False,True,9,92,False
True,False,False,False,True,False,5,74,False
False,True,False,True,True,False,7,78,False
False,True,False,True,True,False,5,-15,False
False,False,False,False,False,False,4,63,True
False,False,False,True,False,True,5,63,True
True,False,False,True,False,False,5,71,False
False,False,False,False,True,False,3,85,False
False,False,False,False,True,False,4,104,False
False,True,False,True,True,False,4,86,False
True,False,False,False,True,False,7,100,False
False,False,False,False,False,True,10,91,False
True,False,True,False,True,False,2,46,False
True,False,True,False,True,True,7,88,False
True,False,True,True,True,False,10,106,False
True,False,False,True,False,True,1,61,True
True,False,False,True,True,False,2,29,False
False,False,False,False,False,False,5,58,False
True,False,False,False,False,True,5,73,False
True,False,False,False,True,False,6,65,False
False,False,False,True,True,False,5,83,False
True,False,True,True,False,True,7,126,False
False,False,False,True,False,False,2,23,False
True,False,True,False,False,False,3,96,False
False,False,False,False,True,False,4,71,False
False,False,False,False,True,False,6,65,False
False,False,False,False,False,True,3,24,False
True,False,True,False,True,False,6,93,False
False,False,False,True,True,False,7,115,False
False,False,True,False,True,False,8,78,False
True,False,False,False,True,False,3,100,False
False,False,False,True,True,False,5,31,False
True,False,True,True,True,False,7,9,False
True,False,False,False,True,False,6,79,False
False,False,True,True,True,False,10,53,False
True,False,True,False,True,False,7,59,False
True,False,True,False,True,False,7,48,False
True,True,True,False,True,False,5,37,False
True,False,False,False,True,False,7,42,False
False,True,False,True,False,True,5,65,True
False,True,True,False,True,False,11,96,False
True,True,False,True,False,True,2,61,True
True,False,False,True,True,False,10,69,False
True,False,True,False,False,True,8,93,False
True,False,False,False,True,False,4,47,False
True,False,False,False,True,True,5,71,False
False,False,False,False,True,False,7,61,False
True,False,True,False,True,False,10,71,False
False,False,False,False,True,False,7,59,False
False,False,False,False,False,False,6,55,False
True,False,True,False,False,True,9,161,False
False,False,True,False,False,False,9,72,False
False,False,True,False,True,False,5,32,False
True,True,False,True,True,False,4,75,True
True,False,False,True,True,False,7,3,False
True,False,True,False,True,False,9,17,False
False,False,False,False,True,False,5,83,False
False,False,False,True,True,False,6,75,False
True,False,False,False,True,False,7,78,False
True,False,False,False,True,False,5,54,False
False,False,False,False,False,True,4,110,False
False,False,True,False,False,True,4,50,False
True,False,True,True,True,False,3,106,False
False,False,False,True,True,False,4,56,True
True,False,False,True,False,False,3,56,True
True,False,False,False,False,False,3,106,False
False,False,False,False,False,True,10,63,False
False,True,False,False,False,False,9,43,False
True,False,False,False,False,False,7,70,False
True,False,False,True,False,True,4,78,True
True,False,False,True,True,True,1,71,True
False,False,False,False,False,True,7,67,False
False,False,True,False,True,False,4,61,False
True,False,False,False,False,False,2,115,False
True,True,False,False,True,False,2,76,False
True,False,False,False,True,False,7,27,False
True,True,False,False,False,False,6,78,False
True,False,False,True,True,False,5,47,False
False,False,True,False,True,False,4,99,False
True,False,False,True,True,True,2,79,False
True,True,False,True,False,True,4,85,True
False,False,True,False,False,False,11,56,False
True,False,False,True,False,True,4,71,True
True,False,False,True,True,False,8,83,True
True,False,False,False,True,False,5,56,True
False,False,False,False,True,False,11,109,False
True,True,False,False,False,True,6,77,False
False,False,True,True,True,False,7,3,False
False,True,False,True,False,False,10,92,False
True,False,False,True,True,False,4,82,False
True,False,False,False,True,False,6,77,False
True,False,True,False,True,False,5,8,False
False,False,False,False,False,False,5,100,False
False,False,False,False,False,True,7,61,False
True,True,False,False,False,True,7,35,False
False,False,True,False,False,True,2,36,False
True,False,False,False,False,False,4,74,True
False,False,False,False,False,False,2,82,False
False,False,True,False,True,True,8,31,False
True,False,False,True,False,False,4,73,True
True,False,False,False,True,False,6,67,False
False,True,False,False,False,True,3,39,False
False,False,False,False,True,False,5,37,False
False,False,False,False,False,True,6,60,False
False,True,True,True,True,False,10,78,False
True,False,False,False,True,False,3,69,False
True,True,True,True,True,True,4,70,True
False,False,False,False,True,False,4,77,False
True,True,False,True,False,False,2,24,False
False,False,False,True,True,False,12,46,False
True,False,True,False,False,False,3,74,False
True,False,False,True,False,True,4,81,False
False,True,False,False,False,True,5,61,True
True,True,False,True,True,False,4,59,False
False,False,False,False,True,False,5,94,False
True,False,False,False,False,True,5,31,False
False,True,True,False,False,True,3,64,False
True,False,True,False,False,False,8,71,False
True,False,True,True,True,False,7,14,False
True,False,True,False,False,False,8,115,False
False,False,False,False,True,False,9,70,False
True,False,True,False,True,False,8,112,False
False,False,False,False,False,False,3,31,False
True,False,True,False,False,False,4,100,False
True,False,False,False,True,False,6,51,False
True,False,False,True,False,True,5,78,True
True,False,False,True,True,False,11,74,False
True,False,False,False,True,True,5,70,False
False,False,False,False,True,False,9,94,False
True,False,True,True,False,True,9,68,False
True,False,False,True,True,False,4,82,True
False,False,False,False,False,True,4,63,True
True,False,False,True,False,True,6,105,False
True,False,False,True,False,True,4,73,True
True,False,False,True,True,False,5,106,False
True,False,True,False,False,False,8,26,False
True,True,True,False,False,False,8,95,False
True,False,False,False,True,False,6,46,False
False,True,True,False,False,True,9,96,False
True,False,False,False,False,True,8,134,False
True,False,False,False,False,False,6,114,False
False,True,True,True,True,False,4,73,False
False,False,True,False,True,False,5,55,False
True,False,False,False,True,False,6,95,False
False,False,False,False,True,True,7,94,False
True,False,False,False,True,False,3,104,False
True,False,True,False,True,False,7,134,False
True,False,False,False,False,False,8,73,False
True,False,False,False,True,False,3,110,False
True,False,False,True,True,False,7,71,False
True,False,False,False,True,False,5,54,False
False,False,False,False,True,True,4,52,True
True,False,False,True,True,False,4,33,False
True,False,False,True,False,True,5,59,True
True,False,True,False,True,False,9,103,False
True,False,True,True,False,True,8,103,False
True,False,True,False,True,False,6,100,False
False,False,False,True,True,True,7,121,False
False,False,True,False,True,False,5,88,False
True,False,True,False,True,False,7,93,False
True,False,True,True,True,False,4,86,True
False,False,False,False,False,True,5,82,False
False,False,False,False,True,False,8,39,False
True,False,False,True,False,False,2,83,True
False,False,False,False,True,False,6,57,False
True,False,False,True,False,True,3,54,True
False,False,False,False,False,False,7,40,False
True,False,False,False,False,True,6,75,False
False,False,False,True,False,True,5,79,False
False,False,False,True,True,False,8,60,False
False,False,True,True,True,False,10,37,False
False,False,False,False,False,False,5,115,False
True,False,True,False,True,False,4,43,False
True,False,False,False,True,False,5,71,False
False,False,False,True,True,False,5,87,False
True,False,True,False,True,False,6,63,False
True,True,False,True,False,True,9,93,False
